date,timestamp,value
04/23/2023 14:48:42,1682232522,0
04/23/2023 14:50:42,1682232642,0
04/23/2023 14:52:42,1682232762,0
04/23/2023 14:54:42,1682232882,0
04/23/2023 14:56:42,1682233002,0
04/23/2023 14:58:42,1682233122,0
04/23/2023 15:00:42,1682233242,0
04/23/2023 15:02:42,1682233362,0
04/23/2023 15:04:42,1682233482,0
04/23/2023 15:06:42,1682233602,0
04/23/2023 15:08:42,1682233722,0
04/23/2023 15:10:42,1682233842,0
04/23/2023 15:12:42,1682233962,0
04/23/2023 15:14:42,1682234082,0
04/23/2023 15:16:42,1682234202,0
04/23/2023 15:18:42,1682234322,0
04/23/2023 15:20:42,1682234442,0
04/23/2023 15:22:42,1682234562,0.0166666666666666
04/23/2023 15:24:42,1682234682,0
04/23/2023 15:26:42,1682234802,0
04/23/2023 15:28:42,1682234922,0
04/23/2023 15:30:42,1682235042,0
04/23/2023 15:32:42,1682235162,0.0166669444490741
04/23/2023 15:34:42,1682235282,0.0166666666666666
04/23/2023 15:36:42,1682235402,0.0166658333749979
04/23/2023 15:38:42,1682235522,0.0166666666666666
04/23/2023 15:40:42,1682235642,0
04/23/2023 15:42:42,1682235762,0.0166666666666666
04/23/2023 15:44:42,1682235882,0
04/23/2023 15:46:42,1682236002,0.01666500016665
04/23/2023 15:48:42,1682236122,0
04/23/2023 15:50:42,1682236242,0.0166677778518567
04/23/2023 15:52:42,1682236362,0.0166663888935184
04/23/2023 15:54:42,1682236482,0.0166666666666666
04/23/2023 15:56:42,1682236602,0.016666111129629
04/23/2023 15:58:42,1682236722,0.0166669444490741
04/23/2023 16:00:42,1682236842,0.0166669444490741
04/23/2023 16:02:42,1682236962,0.0166666666666666
04/23/2023 16:04:42,1682237082,0
04/23/2023 16:06:42,1682237202,0.0166716681671168
04/23/2023 16:08:42,1682237322,0
04/23/2023 16:10:42,1682237442,0.0166669444490741
04/23/2023 16:12:42,1682237562,0.0166666666666666
04/23/2023 16:14:42,1682237682,0.0166666666666666
04/23/2023 16:16:42,1682237802,0.0166666666666666
04/23/2023 16:18:42,1682237922,0.0166666666666666
04/23/2023 16:20:42,1682238042,0
04/23/2023 16:22:42,1682238162,0.0166666666666666
04/23/2023 16:24:42,1682238282,0
04/23/2023 16:26:42,1682238402,0.0166666666666666
04/23/2023 16:28:42,1682238522,0.0166669444490741
04/23/2023 16:30:42,1682238642,0.0166666666666666
04/23/2023 16:32:42,1682238762,0.0166666666666666
04/23/2023 16:34:42,1682238882,0
04/23/2023 16:36:42,1682239002,0.01666500016665
04/23/2023 16:38:42,1682239122,0.0166700006668
04/23/2023 16:40:42,1682239242,0.0166672222407413
04/23/2023 16:42:42,1682239362,0.0166666666666666
04/23/2023 16:44:42,1682239482,0.016671390227231
04/23/2023 16:46:42,1682239602,0
04/23/2023 16:48:42,1682239722,0
04/23/2023 16:50:42,1682239842,0
04/23/2023 16:52:42,1682239962,0.0166666666666666
04/23/2023 16:54:42,1682240082,0
04/23/2023 16:56:42,1682240202,0
04/23/2023 16:58:42,1682240322,0
04/23/2023 17:00:42,1682240442,0.01666500016665
04/23/2023 17:02:42,1682240562,0
04/23/2023 17:04:42,1682240682,0
04/23/2023 17:06:42,1682240802,0
04/23/2023 17:08:42,1682240922,0
04/23/2023 17:10:42,1682241042,0.0166669444490741
04/23/2023 17:12:42,1682241162,0
04/23/2023 17:14:42,1682241282,0
04/23/2023 17:16:42,1682241402,0
04/23/2023 17:18:42,1682241522,0.0166666666666666
04/23/2023 17:20:42,1682241642,0
04/23/2023 17:22:42,1682241762,0
04/23/2023 17:24:42,1682241882,0
04/23/2023 17:26:42,1682242002,0
04/23/2023 17:28:42,1682242122,0
04/23/2023 17:30:42,1682242242,0.0166675000416687
04/23/2023 17:32:42,1682242362,0
04/23/2023 17:34:42,1682242482,0
04/23/2023 17:36:42,1682242602,0
04/23/2023 17:38:42,1682242722,0
04/23/2023 17:40:42,1682242842,0
04/23/2023 17:42:42,1682242962,0
04/23/2023 17:44:42,1682243082,0
04/23/2023 17:46:42,1682243202,0
04/23/2023 17:48:42,1682243322,0
04/23/2023 17:50:42,1682243442,0
04/23/2023 17:52:42,1682243562,0
04/23/2023 17:54:42,1682243682,0
04/23/2023 17:56:42,1682243802,0
04/23/2023 17:58:42,1682243922,0
04/23/2023 18:00:42,1682244042,0
04/23/2023 18:02:42,1682244162,0
04/23/2023 18:04:42,1682244282,0
04/23/2023 18:06:42,1682244402,0
04/23/2023 18:08:42,1682244522,0
04/23/2023 18:10:42,1682244642,0.0166666666666666
04/23/2023 18:12:42,1682244762,0
04/23/2023 18:14:42,1682244882,0
04/23/2023 18:16:42,1682245002,0
04/23/2023 18:18:42,1682245122,0
04/23/2023 18:20:42,1682245242,0
04/23/2023 18:22:42,1682245362,0
04/23/2023 18:24:42,1682245482,0
04/23/2023 18:26:42,1682245602,0
04/23/2023 18:28:42,1682245722,0
04/23/2023 18:30:42,1682245842,0
04/23/2023 18:32:42,1682245962,0
04/23/2023 18:34:42,1682246082,0
04/23/2023 18:36:42,1682246202,0
04/23/2023 18:38:42,1682246322,0
04/23/2023 18:40:42,1682246442,0
04/23/2023 18:42:42,1682246562,0
04/23/2023 18:44:42,1682246682,0
04/23/2023 18:46:42,1682246802,0
04/23/2023 18:48:42,1682246922,0
