timestamp,value
1682234202,1.19998
1682234322,1.183353056
1682234442,1.20002
1682234562,1.2
1682234682,4.1
1682234802,10.06683445
1682234922,8.352645004
1682235042,11.03314945
1682235162,16.11693528
1682235282,18.6
1682235402,19.63235172
1682235522,17.35
1682235642,18.0
1682235762,18.56666667
1682235882,17.06695112
1682236002,17.56491018
1682236122,15.4
1682236242,15.56770451
1682236362,16.08306528
1682236482,16.0
1682236602,18.89937002
1682236722,17.11695195
1682236842,17.40029
1682236962,18.31666667
1682237082,16.24972917
1682237202,17.33853489
1682237322,15.36666667
1682237442,14.30023834
1682237562,15.5
1682237682,16.56666667
1682237802,18.65
1682237922,16.86666667
1682238042,13.13333333
1682238162,13.68333333
1682238282,14.29976167
1682238402,16.18333333
1682238522,14.26690445
1682238642,14.7
1682238762,14.43333333
1682238882,12.45
1682239002,13.26534013
1682239122,12.15243049
1682239242,12.15040501
1682239362,11.96666667
1682239482,11.87002984
1682239602,13.56689278
1682239722,12.04979917
1682239842,12.48333333
1682239962,12.2
1682240082,12.38333333
1682240202,13.16644723
1682240322,11.53333333
1682240442,9.882345099
1682240562,8.833480558
1682240682,8.8
1682240802,8.11707252
1682240922,7.650127502
1682241042,7.86679778
1682241162,4.566742779
1682241282,4.200210011
1682241402,4.633333333
1682241522,5.3
1682241642,6.45
1682241762,3.549940834
1682241882,3.416666667
1682242002,3.416666667
