timestamp,value
1682234202,0.049999167
1682234322,0.033333889
1682234442,0.050000833
1682234562,0.066666667
1682234682,0.1
1682234802,0.166669444
1682234922,0.200063353
1682235042,0.233329445
1682235162,0.333338889
1682235282,0.366666667
1682235402,0.366648334
1682235522,0.366666667
1682235642,0.383333333
1682235762,0.366666667
1682235882,0.383339722
1682236002,0.333300003
1682236122,0.316666667
1682236242,0.316687779
1682236362,0.333327778
1682236482,0.333333333
1682236602,0.349988334
1682236722,0.350005833
1682236842,0.350005833
1682236962,0.366666667
1682237082,0.366660556
1682237202,0.316761695
1682237322,0.316666667
1682237442,0.300005
1682237562,0.316666667
1682237682,0.333333333
1682237802,0.333333333
1682237922,0.333333333
1682238042,0.3
1682238162,0.283333333
1682238282,0.299995
1682238402,0.283333333
1682238522,0.300005
1682238642,0.3
1682238762,0.316666667
1682238882,0.3
1682239002,0.233310002
1682239122,0.25005001
1682239242,0.266675556
1682239362,0.266666667
1682239482,0.283413634
1682239602,0.266671111
1682239722,0.283328611
1682239842,0.3
1682239962,0.3
1682240082,0.3
1682240202,0.316661389
1682240322,0.333333333
1682240442,0.233310002
1682240562,0.200003333
1682240682,0.183333333
1682240802,0.200010001
1682240922,0.166669444
1682241042,0.166669444
1682241162,0.116668611
1682241282,0.100005
1682241402,0.116666667
1682241522,0.133333333
1682241642,0.166666667
1682241762,0.116664722
1682241882,0.1
1682242002,0.133333333
