timestamp,value
1682234202,0.001233313
1682234322,0.000833347
1682234442,0.001550026
1682234562,0.001733333
1682234682,0.004266667
1682234802,0.0140169
1682234922,0.016055084
1682235042,0.020249663
1682235162,0.02978383
1682235282,0.026433333
1682235402,0.020932287
1682235522,0.02965
1682235642,0.0287
1682235762,0.018016667
1682235882,0.015833597
1682236002,0.02959704
1682236122,0.0278
1682236242,0.03030202
1682236362,0.029116181
1682236482,0.0279
1682236602,0.028732376
1682236722,0.035117252
1682236842,0.025733762
1682236962,0.023883333
1682237082,0.01919968
1682237202,0.016921743
1682237322,0.018516667
1682237442,0.016500275
1682237562,0.0174
1682237682,0.017766667
1682237802,0.016683333
1682237922,0.015166667
1682238042,0.02835
1682238162,0.028066667
1682238282,0.016366394
1682238402,0.012866667
1682238522,0.013166886
1682238642,0.013216667
1682238762,0.014716667
1682238882,0.012833333
1682239002,0.024047595
1682239122,0.026922051
1682239242,0.026934231
1682239362,0.023016667
1682239482,0.025573913
1682239602,0.022117035
1682239722,0.015849736
1682239842,0.023833333
1682239962,0.014966667
1682240082,0.015483333
1682240202,0.030016166
1682240322,0.0222
1682240442,0.016665
1682240562,0.009900165
1682240682,0.007733333
1682240802,0.018050903
1682240922,0.014316905
1682241042,0.016300272
1682241162,0.007933466
1682241282,0.00653366
1682241402,0.008933333
1682241522,0.00975
1682241642,0.010883333
1682241762,0.003316611
1682241882,0.004416667
1682242002,0.003966667
